KDC,권수
총류(000),22677
철학(100),11967
종교(200),23233
사회과학(300),60070
순수화학(400),11457
기술과학(500),20636
예술(600),49449
언어(700),19779
문학(800),34714
역사(900),15206
미등록,12543
