Address,Location
'Lake Buena Vista, FL 32830, United States','Walt Disney World'
'6000 Universal Boulevard, Orlando, FL 32819, United States','Universal Studios'
'7007 Sea World Drive, Orlando, FL 32821, United States','Seaworld Orlando'
